cat,VEGDESC,VEG_ID,F_CODEDESC,F_CODE,AREA_KM2
403.000,Evergreen,25.000,Trees,EC030,166.023
404.000,Evergreen,25.000,Trees,EC030,131.251
405.000,Evergreen,25.000,Trees,EC030,475.044
406.000,Evergreen,25.000,Trees,EC030,322.639
407.000,Evergreen,25.000,Trees,EC030,687.631
408.000,Evergreen,25.000,Trees,EC030,1269.449
416.000,Deciduous,24.000,Trees,EC030,444.259
417.000,Deciduous,24.000,Trees,EC030,1261.033
25.000,Deciduous,24.000,Trees,EC030,107.237
418.000,Deciduous,24.000,Trees,EC030,107.978
419.000,Mixed Trees,50.000,Trees,EC030,104.835
420.000,Mixed Trees,50.000,Trees,EC030,148.414
421.000,Mixed Trees,50.000,Trees,EC030,241.044
422.000,Mixed Trees,50.000,Trees,EC030,130.818
423.000,Mixed Trees,50.000,Trees,EC030,200.579
424.000,Mixed Trees,50.000,Trees,EC030,189.080
425.000,Mixed Trees,50.000,Trees,EC030,102.560
426.000,Mixed Trees,50.000,Trees,EC030,207.642
427.000,Evergreen,25.000,Trees,EC030,490.813
428.000,Evergreen,25.000,Trees,EC030,461.984
429.000,Evergreen,25.000,Trees,EC030,6148.532
430.000,Evergreen,25.000,Trees,EC030,402.368
431.000,Evergreen,25.000,Trees,EC030,150.782
432.000,Evergreen,25.000,Trees,EC030,312.521
433.000,Evergreen,25.000,Trees,EC030,140.591
434.000,Evergreen,25.000,Trees,EC030,234.163
435.000,Evergreen,25.000,Trees,EC030,148.340
436.000,Evergreen,25.000,Trees,EC030,584.456
437.000,Evergreen,25.000,Trees,EC030,131.588
438.000,Mixed Trees,50.000,Trees,EC030,117.305
440.000,Mixed Trees,50.000,Trees,EC030,211.297
443.000,Evergreen,25.000,Trees,EC030,2621.486
444.000,Evergreen,25.000,Trees,EC030,1727.761
67.000,Deciduous,24.000,Trees,EC030,57195.517
68.000,Deciduous,24.000,Trees,EC030,128.919
69.000,Deciduous,24.000,Trees,EC030,1304.320
70.000,Evergreen,25.000,Trees,EC030,6805.835
71.000,Deciduous,24.000,Trees,EC030,968.062
72.000,Deciduous,24.000,Trees,EC030,1346.359
73.000,Mixed Trees,50.000,Trees,EC030,169.869
74.000,Mixed Trees,50.000,Trees,EC030,40966.017
75.000,Evergreen,25.000,Trees,EC030,509.193
76.000,Evergreen,25.000,Trees,EC030,252.566
77.000,Mixed Trees,50.000,Trees,EC030,23208.050
78.000,Mixed Trees,50.000,Trees,EC030,419.230
79.000,Mixed Trees,50.000,Trees,EC030,1175.150
80.000,Mixed Trees,50.000,Trees,EC030,132.597
81.000,Evergreen,25.000,Trees,EC030,1839.646
83.000,Mixed Trees,50.000,Trees,EC030,723.204
84.000,Mixed Trees,50.000,Trees,EC030,401.111
85.000,Mixed Trees,50.000,Trees,EC030,671.051
86.000,Mixed Trees,50.000,Trees,EC030,222.837
87.000,Mixed Trees,50.000,Trees,EC030,2612.703
88.000,Deciduous,24.000,Trees,EC030,167.774
89.000,Mixed Trees,50.000,Trees,EC030,521.010
90.000,Deciduous,24.000,Trees,EC030,161.096
91.000,Evergreen,25.000,Trees,EC030,116.531
92.000,Mixed Trees,50.000,Trees,EC030,163.902
93.000,Evergreen,25.000,Trees,EC030,5318.002
94.000,Deciduous,24.000,Trees,EC030,1783.428
95.000,Mixed Trees,50.000,Trees,EC030,153.429
96.000,Mixed Trees,50.000,Trees,EC030,1640.579
97.000,Mixed Trees,50.000,Trees,EC030,2982.309
98.000,Evergreen,25.000,Trees,EC030,730.017
99.000,Deciduous,24.000,Trees,EC030,634.823
100.000,Deciduous,24.000,Trees,EC030,14424.887
101.000,Deciduous,24.000,Trees,EC030,222.178
102.000,Deciduous,24.000,Trees,EC030,1124.968
103.000,Evergreen,25.000,Trees,EC030,138.627
104.000,Evergreen,25.000,Trees,EC030,815.751
105.000,Deciduous,24.000,Trees,EC030,338.227
106.000,Evergreen,25.000,Trees,EC030,175.326
107.000,Mixed Trees,50.000,Trees,EC030,606.103
109.000,Deciduous,24.000,Trees,EC030,354.703
110.000,Deciduous,24.000,Trees,EC030,138.267
111.000,Deciduous,24.000,Trees,EC030,108.469
112.000,Deciduous,24.000,Trees,EC030,330.552
113.000,Evergreen,25.000,Trees,EC030,1828.181
114.000,Evergreen,25.000,Trees,EC030,807.872
115.000,Deciduous,24.000,Trees,EC030,293.885
116.000,Evergreen,25.000,Trees,EC030,177.456
117.000,Evergreen,25.000,Trees,EC030,377.190
118.000,Evergreen,25.000,Trees,EC030,113.281
119.000,Mixed Trees,50.000,Trees,EC030,117.975
120.000,Mixed Trees,50.000,Trees,EC030,122.310
121.000,Mixed Trees,50.000,Trees,EC030,144.871
122.000,Evergreen,25.000,Trees,EC030,644.388
123.000,Evergreen,25.000,Trees,EC030,410.426
124.000,Mixed Trees,50.000,Trees,EC030,269.940
125.000,Deciduous,24.000,Trees,EC030,135.638
127.000,Evergreen,25.000,Trees,EC030,231.832
128.000,Evergreen,25.000,Trees,EC030,300.231
129.000,Mixed Trees,50.000,Trees,EC030,473.744
130.000,Deciduous,24.000,Trees,EC030,409.184
131.000,Mixed Trees,50.000,Trees,EC030,481.019
132.000,Evergreen,25.000,Trees,EC030,103.092
133.000,Mixed Trees,50.000,Trees,EC030,108.610
134.000,Deciduous,24.000,Trees,EC030,192.304
135.000,Evergreen,25.000,Trees,EC030,197.968
136.000,Evergreen,25.000,Trees,EC030,75148.859
137.000,Evergreen,25.000,Trees,EC030,899.118
138.000,Evergreen,25.000,Trees,EC030,909.768
139.000,Evergreen,25.000,Trees,EC030,178.757
140.000,Evergreen,25.000,Trees,EC030,167.073
141.000,Evergreen,25.000,Trees,EC030,503.727
142.000,Evergreen,25.000,Trees,EC030,112.421
