cat,VEGDESC,VEG_ID,F_CODEDESC,F_CODE,AREA_KM2,CLUSTER_ID
96.000,Mixed Trees,50.000,Trees,EC030,1640.579,"2"
97.000,Mixed Trees,50.000,Trees,EC030,2982.309,"2"
98.000,Evergreen,25.000,Trees,EC030,730.017,"3"
99.000,Deciduous,24.000,Trees,EC030,634.823,"2"
100.000,Deciduous,24.000,Trees,EC030,14424.887,"3"
101.000,Deciduous,24.000,Trees,EC030,222.178,"3"
102.000,Deciduous,24.000,Trees,EC030,1124.968,"3"
103.000,Evergreen,25.000,Trees,EC030,138.627,"3"
104.000,Evergreen,25.000,Trees,EC030,815.751,"2"
105.000,Deciduous,24.000,Trees,EC030,338.227,"2"
106.000,Evergreen,25.000,Trees,EC030,175.326,"3"
107.000,Mixed Trees,50.000,Trees,EC030,606.103,"2"
109.000,Deciduous,24.000,Trees,EC030,354.703,"3"
110.000,Deciduous,24.000,Trees,EC030,138.267,"3"
111.000,Deciduous,24.000,Trees,EC030,108.469,"3"
113.000,Evergreen,25.000,Trees,EC030,1828.181,"3"
114.000,Evergreen,25.000,Trees,EC030,807.872,"3"
115.000,Deciduous,24.000,Trees,EC030,293.885,"2"
116.000,Evergreen,25.000,Trees,EC030,177.456,"3"
117.000,Evergreen,25.000,Trees,EC030,377.190,"3"
118.000,Evergreen,25.000,Trees,EC030,113.281,"2"
119.000,Mixed Trees,50.000,Trees,EC030,117.975,"3"
120.000,Mixed Trees,50.000,Trees,EC030,122.310,"3"
121.000,Mixed Trees,50.000,Trees,EC030,144.871,"3"
122.000,Evergreen,25.000,Trees,EC030,644.388,"3"
123.000,Evergreen,25.000,Trees,EC030,410.426,"3"
124.000,Mixed Trees,50.000,Trees,EC030,269.940,"3"
125.000,Deciduous,24.000,Trees,EC030,135.638,"3"
127.000,Evergreen,25.000,Trees,EC030,231.832,"3"
128.000,Evergreen,25.000,Trees,EC030,300.231,"2"
129.000,Mixed Trees,50.000,Trees,EC030,473.744,"3"
130.000,Deciduous,24.000,Trees,EC030,409.184,"2"
131.000,Mixed Trees,50.000,Trees,EC030,481.019,"2"
132.000,Evergreen,25.000,Trees,EC030,103.092,"2"
133.000,Mixed Trees,50.000,Trees,EC030,108.610,"2"
134.000,Deciduous,24.000,Trees,EC030,192.304,"2"
135.000,Evergreen,25.000,Trees,EC030,197.968,"3"
137.000,Evergreen,25.000,Trees,EC030,899.118,"0"
138.000,Evergreen,25.000,Trees,EC030,909.768,"0"
139.000,Evergreen,25.000,Trees,EC030,178.757,"0"
140.000,Evergreen,25.000,Trees,EC030,167.073,"0"
141.000,Evergreen,25.000,Trees,EC030,503.727,"0"
142.000,Evergreen,25.000,Trees,EC030,112.421,"0"
143.000,Evergreen,25.000,Trees,EC030,128.915,"3"
144.000,Evergreen,25.000,Trees,EC030,208.800,"3"
145.000,Evergreen,25.000,Trees,EC030,114.003,"0"
146.000,Deciduous,24.000,Trees,EC030,797.503,"2"
147.000,Evergreen,25.000,Trees,EC030,217.049,"2"
148.000,Deciduous,24.000,Trees,EC030,932.365,"3"
149.000,Evergreen,25.000,Trees,EC030,112.730,"2"
150.000,Evergreen,25.000,Trees,EC030,170.711,"3"
151.000,Deciduous,24.000,Trees,EC030,111.370,"2"
152.000,Mixed Trees,50.000,Trees,EC030,427.344,"3"
,Mixed Trees,50.000,Trees,EC030,1097.609,"2"
154.000,Mixed Trees,50.000,Trees,EC030,106.778,"3"
155.000,Evergreen,25.000,Trees,EC030,187.406,"2"
156.000,Deciduous,24.000,Trees,EC030,3069.977,"3"
157.000,Mixed Trees,50.000,Trees,EC030,1026.049,"3"
158.000,Mixed Trees,50.000,Trees,EC030,119.593,"2"
159.000,Deciduous,24.000,Trees,EC030,389.171,"2"
160.000,Deciduous,24.000,Trees,EC030,160.839,"3"
161.000,Mixed Trees,50.000,Trees,EC030,282.198,"3"
162.000,Deciduous,24.000,Trees,EC030,116.296,"3"
163.000,Mixed Trees,50.000,Trees,EC030,13909.653,"0"
164.000,Mixed Trees,50.000,Trees,EC030,150.700,"2"
165.000,Mixed Trees,50.000,Trees,EC030,1409.133,"3"
166.000,Mixed Trees,50.000,Trees,EC030,234.203,"3"
167.000,Deciduous,24.000,Trees,EC030,249.086,"0"
168.000,Mixed Trees,50.000,Trees,EC030,144.854,"3"
169.000,Mixed Trees,50.000,Trees,EC030,183.005,"3"
170.000,Mixed Trees,50.000,Trees,EC030,847.010,"0"
171.000,Mixed Trees,50.000,Trees,EC030,282.016,"0"
172.000,Mixed Trees,50.000,Trees,EC030,101.471,"0"
173.000,Mixed Trees,50.000,Trees,EC030,198.680,"0"
174.000,Deciduous,24.000,Trees,EC030,189.720,"0"
175.000,Evergreen,25.000,Trees,EC030,1247.669,"0"
176.000,Mixed Trees,50.000,Trees,EC030,123.310,"0"
177.000,Evergreen,25.000,Trees,EC030,243.444,"0"
178.000,Mixed Trees,50.000,Trees,EC030,229.780,"0"
179.000,Deciduous,24.000,Trees,EC030,173.560,"0"
181.000,Mixed Trees,50.000,Trees,EC030,158.483,"0"
182.000,Deciduous,24.000,Trees,EC030,428.885,"0"
183.000,Mixed Trees,50.000,Trees,EC030,139.696,"0"
184.000,Mixed Trees,50.000,Trees,EC030,450.143,"0"
185.000,Mixed Trees,50.000,Trees,EC030,139.481,"0"
186.000,Mixed Trees,50.000,Trees,EC030,165.831,"0"
187.000,Evergreen,25.000,Trees,EC030,261.319,"0"
189.000,Evergreen,25.000,Trees,EC030,345.265,"0"
190.000,Deciduous,24.000,Trees,EC030,1092.172,"0"
191.000,Deciduous,24.000,Trees,EC030,179.195,"0"
192.000,Mixed Trees,50.000,Trees,EC030,406.815,"0"
193.000,Deciduous,24.000,Trees,EC030,130.530,"0"
194.000,Mixed Trees,50.000,Trees,EC030,326.524,"0"
196.000,Mixed Trees,50.000,Trees,EC030,120.399,"0"
197.000,Mixed Trees,50.000,Trees,EC030,240.460,"4"
198.000,Deciduous,24.000,Trees,EC030,157.381,"0"
199.000,Mixed Trees,50.000,Trees,EC030,137.299,"0"
201.000,Mixed Trees,50.000,Trees,EC030,247.944,"0"
202.000,Mixed Trees,50.000,Trees,EC030,212.277,"0"
204.000,Mixed Trees,50.000,Trees,EC030,131.760,"0"
205.000,Mixed Trees,50.000,Trees,EC030,170.362,"0"
206.000,Evergreen,25.000,Trees,EC030,2725.791,"0"
207.000,Evergreen,25.000,Trees,EC030,216.438,"0"
208.000,Evergreen,25.000,Trees,EC030,626.321,"0"
